"ID","Command","Aliases","User Story","Expected Behaviour (from code)","Status","Test Result","Errors Found","Fix Applied","Retest Result"
"US-001","init","","As a user in a fresh repo, I want to start tracking stacks so I can build diffs.","Detects trunk (origin/HEAD -> current branch -> 'main'), writes state, prints 'initialized stacked (trunk: X)' then 'next: st create <name>'. Exit 0.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-002","init","","As a user, I want to pick the trunk explicitly via --trunk.","'st init --trunk <name>' uses that branch as trunk if it exists; errors 'trunk branch X does not exist' otherwise.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-003","init","","As a user re-running init, I want a clear no-op instead of an error.","If already initialized, prints 'stacked already initialized (trunk: X)' with alreadyInitialized=true, exit 0.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-004","init","","As a user outside a git repo, I want a clear error.","'st init' outside a git repo errors 'not inside a git repository: ...', exit 1.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-005","create","c","As a user, I want to create a new branch stacked on the current one.","Creates branch, tracks it with parent=current, prints 'Created X on top of Y', Branch=X. Exit 0.","Done (fixed)","Fail (UX/logistical issue)","F3: ""st create <invalid-name>"" leaks raw multi-line git error + hints (git checkout -b ...: fatal: not a valid branch name ...) instead of a friendly message. Validate the name up front.","git.CheckBranchName (git check-ref-format) validates the name in runCreate up front; emits ""X is not a valid branch name"" instead of git's raw fatal+hints.","Pass (fixed & re-tested)"
"US-006","create","c","As a user, I want to stage+commit and create in one step with -a -m.","'st create X -a -m msg' stages all, commits on new branch, tracks it.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-007","create","c","As a user, I want a clear error if I pass -m with nothing staged.","'st create X -m msg' with clean tree errors 'no staged changes to commit; stage changes or pass -a'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-008","create","c","As a user, I want a clear error if I have staged changes but no -m.","'st create X' with staged changes errors 'staged changes present; provide a commit message with -m'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-009","create","c","As a user, I want creation to refuse an existing branch name.","'st create X' where X exists errors 'branch X already exists'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-010","create","c","As a user on an untracked branch, I want creation refused.","Current branch not trunk and not tracked errors 'current branch X is not the trunk or a tracked branch'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
